epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.924,1.85511,4.71803,2.02007,0.30478,0.19817,0.13192,0.05912,1.88246,2.97422,2.04023,0.00332958,0.00332958,0.00332958
2,936.585,1.82584,3.85093,1.995,0.36729,0.21462,0.1747,0.08133,1.86844,2.95397,2.13461,0.00659695,0.00659695,0.00659695
3,1312.83,1.89639,3.46513,2.10237,0.25388,0.16259,0.09772,0.04304,2.03291,3.44495,2.34371,0.00979832,0.00979832,0.00979832
4,1610.42,1.93998,3.31449,2.16421,0.30388,0.14021,0.10106,0.04269,2.08979,3.34597,2.51013,0.009703,0.009703,0.009703
5,1913.43,1.88413,3.13375,2.13037,0.28048,0.26762,0.21958,0.09982,1.93212,2.86743,2.26076,0.009604,0.009604,0.009604
6,2223.21,1.83827,3.03043,2.09741,0.34668,0.23097,0.20363,0.09975,1.93631,3.14841,2.30098,0.009505,0.009505,0.009505
7,2525.79,1.80006,2.9107,2.05108,0.36271,0.32077,0.27104,0.13335,1.81507,2.69253,2.14381,0.009406,0.009406,0.009406
8,2832.35,1.77818,2.83411,2.0345,0.40258,0.32622,0.30705,0.16069,1.74742,2.53307,2.07196,0.009307,0.009307,0.009307
9,3140.57,1.75474,2.76178,2.00541,0.39702,0.33785,0.30435,0.14713,1.84173,2.56623,2.17639,0.009208,0.009208,0.009208
10,3451.81,1.73465,2.71521,1.99745,0.41838,0.32325,0.30506,0.1593,1.76891,2.83105,2.1217,0.009109,0.009109,0.009109
11,3758.6,1.73041,2.69528,1.99084,0.46323,0.35095,0.3512,0.19153,1.68514,2.56687,2.02699,0.00901,0.00901,0.00901
12,4074.42,1.70252,2.63425,1.96704,0.4596,0.36519,0.36014,0.19587,1.65298,2.4834,1.9726,0.008911,0.008911,0.008911
13,4405.21,1.69523,2.59159,1.95358,0.48119,0.39368,0.3843,0.21231,1.65945,2.35739,1.98961,0.008812,0.008812,0.008812
