epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,375.606,1.85511,4.71803,2.02007,0.30478,0.19817,0.13192,0.05912,1.88246,2.97422,2.04023,0.00332958,0.00332958,0.00332958
2,737.79,1.83065,3.85952,1.99787,0.23762,0.24322,0.17589,0.07948,1.84833,2.99091,2.17613,0.00662994,0.00662994,0.00662994
3,1107.22,1.89876,3.47148,2.10261,0.17274,0.22678,0.12804,0.05694,1.99506,3.15129,2.2791,0.00989729,0.00989729,0.00989729
4,1457.24,1.9439,3.3337,2.1639,0.24965,0.24041,0.18982,0.09212,1.90136,2.82087,2.23191,0.0098515,0.0098515,0.0098515
5,1806.88,1.8817,3.13158,2.12536,0.3063,0.25191,0.21578,0.0944,1.9385,3.02519,2.28358,0.009802,0.009802,0.009802
6,2162.44,1.84253,3.02432,2.08579,0.35518,0.26483,0.23527,0.11038,1.90115,2.81096,2.21876,0.0097525,0.0097525,0.0097525
7,2500.25,1.8016,2.91847,2.04743,0.35549,0.29101,0.2587,0.12488,1.85623,2.67229,2.17663,0.009703,0.009703,0.009703
8,2837.82,1.77994,2.83672,2.02927,0.39081,0.31313,0.28553,0.14227,1.82814,2.66585,2.13123,0.0096535,0.0096535,0.0096535
9,3191.38,1.76126,2.76636,2.00315,0.44674,0.37953,0.36319,0.19006,1.73134,2.24644,2.02629,0.009604,0.009604,0.009604
10,3538.68,1.73716,2.7139,1.9932,0.40729,0.33307,0.3102,0.16431,1.76193,2.86671,2.1094,0.0095545,0.0095545,0.0095545
11,3892.11,1.73723,2.69993,1.98612,0.47235,0.33516,0.3373,0.18583,1.68417,2.73839,2.05149,0.009505,0.009505,0.009505
12,4218.57,1.70807,2.63536,1.96558,0.43399,0.34553,0.32759,0.17776,1.71741,2.72611,2.03342,0.0094555,0.0094555,0.0094555
13,4579.35,1.69809,2.60155,1.95586,0.47587,0.38495,0.38764,0.21538,1.68957,2.4134,1.99996,0.009406,0.009406,0.009406
14,4924.52,1.69664,2.55834,1.94658,0.48165,0.35431,0.36088,0.20187,1.65692,2.71531,1.99772,0.0093565,0.0093565,0.0093565
15,5289.93,1.67793,2.53477,1.92915,0.46953,0.37467,0.37016,0.21017,1.65982,2.66106,2.01059,0.009307,0.009307,0.009307
16,5651.59,1.67008,2.49112,1.91772,0.50905,0.37379,0.38172,0.21744,1.64169,2.73645,1.9972,0.0092575,0.0092575,0.0092575
17,6008.26,1.65671,2.45237,1.91085,0.50945,0.40664,0.40892,0.23656,1.57494,2.43274,1.92449,0.009208,0.009208,0.009208
18,6351.9,1.65111,2.43028,1.90151,0.5327,0.40673,0.41404,0.23444,1.60044,2.44624,1.93364,0.0091585,0.0091585,0.0091585
19,6711.65,1.64089,2.40858,1.89518,0.532,0.40408,0.41706,0.24037,1.56122,2.43585,1.89263,0.009109,0.009109,0.009109
20,7055.78,1.63363,2.40777,1.88951,0.5301,0.42557,0.43281,0.25493,1.55618,2.3943,1.88041,0.0090595,0.0090595,0.0090595
21,7379.43,1.63459,2.37545,1.88827,0.55981,0.45547,0.48203,0.27684,1.57281,2.06803,1.88228,0.00901,0.00901,0.00901
22,7727.04,1.62502,2.36094,1.8817,0.57042,0.41678,0.44068,0.25547,1.56412,2.40077,1.8827,0.0089605,0.0089605,0.0089605
23,8051.66,1.61853,2.3521,1.8757,0.59087,0.40442,0.44008,0.26151,1.52744,2.43221,1.88278,0.008911,0.008911,0.008911
24,8379.2,1.61584,2.32574,1.86781,0.56684,0.41625,0.44104,0.26115,1.5148,2.50031,1.83821,0.0088615,0.0088615,0.0088615
25,8711.9,1.61007,2.29263,1.85957,0.57919,0.41947,0.43535,0.2505,1.58674,2.67011,1.92367,0.008812,0.008812,0.008812
26,9050.26,1.6023,2.27313,1.85595,0.60253,0.42684,0.45803,0.27141,1.52897,2.50948,1.84958,0.0087625,0.0087625,0.0087625
27,9387.09,1.59345,2.26896,1.84572,0.60896,0.4269,0.45691,0.27348,1.49338,2.48305,1.84302,0.008713,0.008713,0.008713
28,9705.89,1.58986,2.24704,1.8398,0.60394,0.4299,0.45889,0.27989,1.46896,2.50506,1.83071,0.0086635,0.0086635,0.0086635
29,10052.3,1.59244,2.2419,1.83986,0.61392,0.43647,0.46745,0.28128,1.48879,2.43399,1.83683,0.008614,0.008614,0.008614
30,10411.9,1.59015,2.22621,1.84464,0.62684,0.4376,0.47251,0.28756,1.46566,2.53247,1.8241,0.0085645,0.0085645,0.0085645
31,10787.4,1.57883,2.21002,1.83318,0.62646,0.44063,0.47576,0.29335,1.44339,2.43718,1.79723,0.008515,0.008515,0.008515
32,11140.1,1.57716,2.19169,1.83066,0.6464,0.44216,0.4833,0.29397,1.44873,2.37274,1.77395,0.0084655,0.0084655,0.0084655
33,11480.8,1.57352,2.19637,1.82243,0.65566,0.44365,0.49108,0.29651,1.45346,2.40069,1.77628,0.008416,0.008416,0.008416
34,312.896,1.56088,2.163,1.8163,0.65686,0.44415,0.48627,0.29799,1.43411,2.44699,1.75858,0.0083665,0.0083665,0.0083665
35,629.365,1.56797,2.17868,1.82148,0.64904,0.44472,0.48277,0.29372,1.46814,2.52345,1.81509,0.008317,0.008317,0.008317
