epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.435,0.91957,1.03849,1.26202,0.51023,0.29225,0.29207,0.18857,1.61382,3.61746,1.90268,0.00332754,0.00332754,0.00332754
2,355.397,0.99357,1.13342,1.31126,0.558,0.33078,0.36502,0.24446,1.53944,3.10309,1.78311,0.00659493,0.00659493,0.00659493
3,527.541,1.12744,1.36812,1.41033,0.52783,0.19952,0.23313,0.13425,1.85658,4.11449,2.08501,0.00979632,0.00979632,0.00979632
4,693.83,1.24295,1.58775,1.50377,0.47289,0.30379,0.31638,0.20188,1.63956,3.22075,1.89772,0.009703,0.009703,0.009703
5,862.439,1.26088,1.60281,1.52335,0.44195,0.28005,0.28481,0.18654,1.6479,3.32891,1.8921,0.009604,0.009604,0.009604
6,1032.47,1.23941,1.54853,1.50514,0.47682,0.33074,0.34934,0.22189,1.59602,2.99384,1.84173,0.009505,0.009505,0.009505
7,1203.79,1.22907,1.55957,1.50938,0.47589,0.35145,0.37721,0.24345,1.53979,2.78438,1.8164,0.009406,0.009406,0.009406
8,1367.53,1.21814,1.50593,1.49526,0.48037,0.31032,0.32981,0.20702,1.58419,3.06512,1.85186,0.009307,0.009307,0.009307
9,1537.24,1.1948,1.46865,1.47047,0.5748,0.32241,0.37661,0.25396,1.53902,3.13428,1.80781,0.009208,0.009208,0.009208
10,1708.18,1.19904,1.46372,1.4723,0.50466,0.32729,0.37331,0.24609,1.53763,2.8891,1.80292,0.009109,0.009109,0.009109
11,1877.85,1.18589,1.45054,1.46737,0.58356,0.35293,0.39513,0.25887,1.50315,2.90842,1.76634,0.00901,0.00901,0.00901
12,2046.11,1.1724,1.41479,1.45213,0.59734,0.34219,0.37012,0.24494,1.53061,3.08429,1.80313,0.008911,0.008911,0.008911
13,2214.21,1.15355,1.38037,1.43455,0.52325,0.35793,0.39566,0.26254,1.47948,2.79723,1.73658,0.008812,0.008812,0.008812
14,2382.74,1.14801,1.37778,1.43531,0.56114,0.34492,0.38092,0.24579,1.58945,3.0488,1.87256,0.008713,0.008713,0.008713
15,2552.15,1.1483,1.38208,1.4332,0.66971,0.34936,0.39944,0.26224,1.51883,2.97374,1.7881,0.008614,0.008614,0.008614
16,2717.9,1.14541,1.35908,1.43075,0.60581,0.34125,0.38878,0.26268,1.49059,3.05895,1.76775,0.008515,0.008515,0.008515
17,2887.81,1.13776,1.34931,1.42566,0.55405,0.35744,0.40555,0.27887,1.43228,2.7066,1.72232,0.008416,0.008416,0.008416
18,3056.41,1.12933,1.33121,1.42124,0.56665,0.38133,0.42548,0.2896,1.43012,2.64253,1.69031,0.008317,0.008317,0.008317
19,3224.01,1.12314,1.3168,1.41381,0.69891,0.31693,0.41514,0.28188,1.49122,3.21907,1.77762,0.008218,0.008218,0.008218
20,3388.8,1.11856,1.30615,1.40465,0.62374,0.34928,0.41581,0.28664,1.45903,2.9961,1.7329,0.008119,0.008119,0.008119
21,3557.04,1.10257,1.28778,1.39283,0.5328,0.37454,0.41439,0.28071,1.46466,2.80968,1.74424,0.00802,0.00802,0.00802
22,3728.35,1.10779,1.27065,1.3994,0.72922,0.31591,0.41491,0.28554,1.47453,3.38155,1.77002,0.007921,0.007921,0.007921
23,3898.26,1.08348,1.24911,1.38045,0.63944,0.37472,0.44155,0.30154,1.44693,2.84649,1.73355,0.007822,0.007822,0.007822
24,4063.34,1.08492,1.24913,1.38502,0.59305,0.35152,0.42944,0.29808,1.43242,2.94615,1.72306,0.007723,0.007723,0.007723
25,4229.19,1.0743,1.21703,1.37546,0.65343,0.36317,0.43713,0.30003,1.41399,2.94178,1.69936,0.007624,0.007624,0.007624
26,4398.37,1.08491,1.22857,1.38139,0.6836,0.3381,0.41978,0.28942,1.43825,3.13571,1.72624,0.007525,0.007525,0.007525
27,4565.47,1.07573,1.21005,1.37615,0.66909,0.34237,0.4037,0.27163,1.47834,3.107,1.76973,0.007426,0.007426,0.007426
28,4728.71,1.0632,1.1975,1.36376,0.65841,0.34544,0.42492,0.2941,1.42275,3.06182,1.71381,0.007327,0.007327,0.007327
29,4892.95,1.06733,1.21027,1.37205,0.74036,0.35048,0.43699,0.30577,1.40717,3.05136,1.69848,0.007228,0.007228,0.007228
30,5061.03,1.05112,1.16858,1.35964,0.63755,0.36633,0.43356,0.2993,1.41594,2.86382,1.70894,0.007129,0.007129,0.007129
31,5229.56,1.05222,1.17414,1.35304,0.60269,0.38738,0.43946,0.3054,1.41692,2.77862,1.70847,0.00703,0.00703,0.00703
32,5397.75,1.04672,1.15845,1.35087,0.67443,0.34179,0.42632,0.29229,1.42184,3.01223,1.71215,0.006931,0.006931,0.006931
33,5571.32,1.04364,1.1604,1.34836,0.71302,0.33953,0.45191,0.31123,1.43322,3.07512,1.70933,0.006832,0.006832,0.006832
34,5741.95,1.02975,1.13595,1.33674,0.69344,0.34498,0.45051,0.31579,1.38773,3.05555,1.67996,0.006733,0.006733,0.006733
35,5914.93,1.03712,1.14053,1.34267,0.70495,0.35895,0.44441,0.30932,1.42829,3.07872,1.69998,0.006634,0.006634,0.006634
36,6078.97,1.03133,1.1292,1.33836,0.71893,0.34185,0.45179,0.31819,1.40754,3.17626,1.70328,0.006535,0.006535,0.006535
37,6251.46,1.02696,1.12662,1.33506,0.69323,0.3579,0.44478,0.30998,1.42031,3.06772,1.71916,0.006436,0.006436,0.006436
38,6424.55,1.01523,1.11112,1.32702,0.698,0.35874,0.45173,0.31758,1.39963,3.00862,1.6763,0.006337,0.006337,0.006337
39,6592.5,1.01625,1.10771,1.33307,0.73693,0.35716,0.45671,0.32224,1.36327,3.00294,1.67597,0.006238,0.006238,0.006238
40,6757.28,1.00292,1.0865,1.31414,0.69559,0.37142,0.46123,0.32014,1.39504,2.92312,1.69839,0.006139,0.006139,0.006139
41,6927.2,1.00447,1.07924,1.3216,0.65528,0.35068,0.45972,0.32297,1.39918,3.05247,1.7048,0.00604,0.00604,0.00604
42,7098.2,0.99062,1.07807,1.31363,0.68738,0.36001,0.46589,0.32849,1.3971,3.00931,1.69703,0.005941,0.005941,0.005941
43,7267.5,0.99713,1.06654,1.31737,0.69094,0.35888,0.46193,0.32513,1.39134,3.05296,1.70689,0.005842,0.005842,0.005842
44,7431.36,0.99236,1.06035,1.30907,0.76271,0.35397,0.46486,0.32523,1.39945,3.06082,1.70868,0.005743,0.005743,0.005743
45,7599.96,0.98413,1.04788,1.30098,0.69348,0.3469,0.46057,0.32726,1.38805,3.14945,1.70609,0.005644,0.005644,0.005644
46,7772.86,0.98146,1.05251,1.30365,0.67396,0.34586,0.45692,0.32086,1.39392,3.12366,1.71106,0.005545,0.005545,0.005545
47,7946.45,0.97925,1.03288,1.29647,0.72683,0.34414,0.45996,0.32456,1.39825,3.1103,1.71832,0.005446,0.005446,0.005446
48,8111.44,0.97128,1.03017,1.29717,0.74453,0.355,0.47409,0.33444,1.37016,3.01561,1.68234,0.005347,0.005347,0.005347
49,8289.17,0.96036,1.00902,1.28696,0.76982,0.34686,0.46025,0.32669,1.38156,3.10468,1.68961,0.005248,0.005248,0.005248
50,8460.51,0.96536,1.00446,1.28179,0.71419,0.35722,0.47067,0.33346,1.36738,3.05824,1.6849,0.005149,0.005149,0.005149
51,8628.09,0.96898,1.00099,1.28924,0.70444,0.35208,0.47467,0.34044,1.38205,3.19017,1.69607,0.00505,0.00505,0.00505
52,8795.59,0.95359,0.99348,1.28065,0.65042,0.35394,0.48893,0.34762,1.38112,3.04501,1.69053,0.004951,0.004951,0.004951
53,8969.1,0.9557,0.99615,1.28137,0.78294,0.34287,0.48432,0.34419,1.38033,3.20417,1.69833,0.004852,0.004852,0.004852
54,9140.41,0.95235,0.98541,1.27786,0.75899,0.34825,0.48249,0.34236,1.36415,3.1335,1.67745,0.004753,0.004753,0.004753
55,9313.19,0.93944,0.97034,1.26703,0.73784,0.36042,0.49068,0.34418,1.37461,3.09286,1.6851,0.004654,0.004654,0.004654
56,9479.44,0.94253,0.97247,1.2711,0.7896,0.34096,0.48978,0.34938,1.36444,3.17722,1.67729,0.004555,0.004555,0.004555
57,9650.86,0.93866,0.96829,1.26452,0.78969,0.3364,0.49062,0.3508,1.37202,3.19635,1.68219,0.004456,0.004456,0.004456
58,9819.9,0.93707,0.95423,1.26189,0.79748,0.34145,0.48967,0.34945,1.3682,3.15433,1.6836,0.004357,0.004357,0.004357
59,9989.13,0.92523,0.94963,1.26135,0.8204,0.33896,0.49472,0.35318,1.36735,3.15853,1.68362,0.004258,0.004258,0.004258
60,10153.8,0.92233,0.92414,1.25328,0.76826,0.33743,0.49325,0.35442,1.35522,3.18197,1.67083,0.004159,0.004159,0.004159
61,10318.7,0.91557,0.92461,1.24973,0.77423,0.33848,0.4778,0.3425,1.36323,3.20545,1.68423,0.00406,0.00406,0.00406
62,10486.3,0.91953,0.93057,1.24827,0.77171,0.3364,0.48275,0.34338,1.36061,3.1691,1.68229,0.003961,0.003961,0.003961
63,10654.1,0.91499,0.91627,1.24673,0.74769,0.33137,0.47952,0.34039,1.37808,3.20629,1.68948,0.003862,0.003862,0.003862
64,10818.9,0.90712,0.9055,1.24615,0.79134,0.329,0.4819,0.34757,1.37881,3.28715,1.69597,0.003763,0.003763,0.003763
65,10987.1,0.90694,0.9117,1.24797,0.78943,0.3308,0.47918,0.34251,1.37457,3.27261,1.69474,0.003664,0.003664,0.003664
66,11156.8,0.90742,0.89994,1.24142,0.79012,0.3269,0.47992,0.34763,1.35795,3.27791,1.68416,0.003565,0.003565,0.003565
67,11331.1,0.8995,0.88994,1.23578,0.81312,0.33192,0.48358,0.34838,1.36083,3.27025,1.68579,0.003466,0.003466,0.003466
68,11498.7,0.89473,0.89077,1.23784,0.78441,0.33023,0.48404,0.34888,1.35991,3.23475,1.6831,0.003367,0.003367,0.003367
69,11671.2,0.88448,0.87447,1.23105,0.79517,0.32623,0.48708,0.35093,1.35745,3.27346,1.67719,0.003268,0.003268,0.003268
70,11839.6,0.88522,0.86751,1.22918,0.78925,0.32623,0.48608,0.34868,1.36767,3.29347,1.69599,0.003169,0.003169,0.003169
71,12007.9,0.87461,0.85857,1.21994,0.79735,0.32094,0.49038,0.35153,1.36243,3.29444,1.69061,0.00307,0.00307,0.00307
72,12173.1,0.87643,0.86351,1.22323,0.79078,0.32023,0.49058,0.35106,1.36623,3.28875,1.69519,0.002971,0.002971,0.002971
73,12336.8,0.87078,0.84783,1.21756,0.78803,0.32665,0.4837,0.35008,1.3654,3.32741,1.69382,0.002872,0.002872,0.002872
74,12509.1,0.87008,0.84959,1.21529,0.8363,0.32392,0.48425,0.34933,1.37126,3.36368,1.70264,0.002773,0.002773,0.002773
75,12678.8,0.86061,0.83988,1.21809,0.83633,0.31936,0.47972,0.34525,1.37423,3.38478,1.70181,0.002674,0.002674,0.002674
76,12841.7,0.86582,0.84196,1.21324,0.81946,0.3161,0.48391,0.35022,1.37687,3.38932,1.70348,0.002575,0.002575,0.002575
77,13010.7,0.85472,0.82971,1.2083,0.81571,0.316,0.47956,0.34985,1.37883,3.41771,1.70935,0.002476,0.002476,0.002476
78,13179.4,0.85137,0.80645,1.20319,0.78164,0.31675,0.48127,0.34795,1.37616,3.42546,1.70862,0.002377,0.002377,0.002377
79,13347.7,0.84593,0.81019,1.20061,0.81594,0.31247,0.47764,0.34568,1.3711,3.44821,1.70616,0.002278,0.002278,0.002278
80,13511,0.8486,0.80797,1.20009,0.83341,0.3104,0.47544,0.34444,1.37012,3.45001,1.70678,0.002179,0.002179,0.002179
81,13677.6,0.83966,0.79256,1.19179,0.81307,0.3069,0.47761,0.34601,1.36989,3.45949,1.7042,0.00208,0.00208,0.00208
82,13844.7,0.82799,0.78608,1.1857,0.81188,0.31604,0.48128,0.34801,1.37181,3.47926,1.7042,0.001981,0.001981,0.001981
83,14011.7,0.83172,0.78985,1.19044,0.76306,0.32508,0.47783,0.34659,1.37416,3.50876,1.7081,0.001882,0.001882,0.001882
84,14176.5,0.8226,0.7726,1.18442,0.70912,0.35875,0.47443,0.34305,1.37303,3.52903,1.70809,0.001783,0.001783,0.001783
85,14345.1,0.82493,0.76614,1.1821,0.77737,0.30991,0.47026,0.34125,1.369,3.54186,1.70501,0.001684,0.001684,0.001684
86,14512.9,0.81819,0.76273,1.17989,0.75829,0.31292,0.46935,0.34133,1.36621,3.55553,1.70539,0.001585,0.001585,0.001585
87,14680.5,0.81192,0.75765,1.17623,0.75695,0.31363,0.47324,0.34203,1.36775,3.5563,1.70902,0.001486,0.001486,0.001486
88,14844.3,0.80984,0.75539,1.17154,0.77072,0.31248,0.47067,0.34136,1.36907,3.55691,1.71344,0.001387,0.001387,0.001387
89,15015.3,0.80303,0.74541,1.16923,0.75734,0.32245,0.4732,0.34313,1.37234,3.55864,1.71944,0.001288,0.001288,0.001288
90,15186.4,0.80167,0.7438,1.17021,0.73068,0.3332,0.47793,0.34433,1.37227,3.56929,1.71814,0.001189,0.001189,0.001189
91,15408.8,0.69996,0.56108,1.12346,0.7318,0.33184,0.47423,0.34193,1.37105,3.57663,1.71717,0.00109,0.00109,0.00109
92,15574.4,0.68685,0.53744,1.11296,0.75877,0.32686,0.47009,0.34088,1.36708,3.58265,1.71367,0.000991,0.000991,0.000991
93,15738.5,0.6828,0.53612,1.10884,0.70362,0.3437,0.47156,0.34371,1.36436,3.58718,1.71025,0.000892,0.000892,0.000892
94,15906.4,0.67839,0.52751,1.10411,0.39891,0.43975,0.4711,0.34327,1.36415,3.60085,1.71064,0.000793,0.000793,0.000793
95,16075.4,0.67316,0.52144,1.10025,0.40046,0.43706,0.46874,0.34148,1.36235,3.61278,1.70875,0.000694,0.000694,0.000694
96,16241,0.66221,0.5084,1.09187,0.40662,0.43409,0.46963,0.34297,1.36405,3.6281,1.71059,0.000595,0.000595,0.000595
97,16413.4,0.65978,0.5064,1.09449,0.41583,0.43,0.47196,0.34441,1.36305,3.64744,1.71006,0.000496,0.000496,0.000496
98,16583.2,0.64764,0.49088,1.08763,0.41515,0.42804,0.4689,0.34308,1.36454,3.66825,1.71239,0.000397,0.000397,0.000397
99,16756.5,0.6492,0.48891,1.08513,0.41708,0.42309,0.46689,0.34264,1.36408,3.68443,1.71231,0.000298,0.000298,0.000298
100,16921.7,0.64324,0.4866,1.0799,0.42028,0.4206,0.46562,0.34325,1.36441,3.69932,1.7122,0.000199,0.000199,0.000199
