epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.231,0.94525,1.05189,1.28124,0.60914,0.36462,0.40612,0.27286,1.46926,2.7237,1.76768,0.00332754,0.00332754,0.00332754
2,204.71,1.00977,1.13988,1.32028,0.50841,0.2814,0.30904,0.19988,1.59054,3.35746,1.87526,0.00659493,0.00659493,0.00659493
3,303.193,1.12562,1.36151,1.40429,0.5814,0.2973,0.34026,0.2198,1.65212,3.1519,1.88789,0.00979632,0.00979632,0.00979632
4,401.091,1.22068,1.52903,1.48059,0.44889,0.34874,0.35072,0.21898,1.57864,2.49625,1.83402,0.009703,0.009703,0.009703
5,499.138,1.22891,1.53565,1.47901,0.47389,0.34256,0.34822,0.21531,1.64994,2.81385,1.93085,0.009604,0.009604,0.009604
6,596.547,1.22705,1.52936,1.48794,0.63981,0.29157,0.32663,0.20751,1.68374,3.12348,1.96427,0.009505,0.009505,0.009505
7,694.648,1.20959,1.50183,1.48072,0.56147,0.37863,0.3924,0.25079,1.53066,2.56804,1.78966,0.009406,0.009406,0.009406
8,791.941,1.1935,1.46249,1.46038,0.58238,0.37659,0.41803,0.2749,1.49351,2.6645,1.76463,0.009307,0.009307,0.009307
9,890.243,1.17964,1.44061,1.44909,0.48638,0.38857,0.40433,0.26262,1.52738,2.54097,1.7749,0.009208,0.009208,0.009208
10,988.547,1.17781,1.42552,1.45152,0.54166,0.37791,0.40539,0.26071,1.54769,2.62902,1.82987,0.009109,0.009109,0.009109
11,1085.86,1.16322,1.4019,1.44002,0.53284,0.37614,0.3913,0.25836,1.52039,2.80497,1.80773,0.00901,0.00901,0.00901
12,1182.47,1.15786,1.38696,1.4364,0.53341,0.38756,0.41022,0.26958,1.48436,2.49657,1.73057,0.008911,0.008911,0.008911
13,1279.61,1.14391,1.37048,1.42798,0.57462,0.3817,0.40665,0.26933,1.46703,2.48036,1.74539,0.008812,0.008812,0.008812
14,1376.84,1.13713,1.34496,1.42263,0.63852,0.41073,0.44062,0.29138,1.4525,2.51416,1.74329,0.008713,0.008713,0.008713
15,1474.32,1.13644,1.35291,1.42454,0.60472,0.40286,0.44219,0.29428,1.47368,2.45683,1.76198,0.008614,0.008614,0.008614
16,1571.73,1.1319,1.33895,1.4164,0.60942,0.41619,0.45281,0.3008,1.44335,2.39111,1.7299,0.008515,0.008515,0.008515
17,1669.61,1.11996,1.30826,1.41111,0.56998,0.43357,0.45649,0.30188,1.45339,2.40894,1.74008,0.008416,0.008416,0.008416
18,1767.02,1.10998,1.30086,1.39826,0.57869,0.41501,0.4444,0.29554,1.44615,2.53198,1.74527,0.008317,0.008317,0.008317
19,1864.86,1.10295,1.28295,1.39838,0.60196,0.38808,0.443,0.29817,1.44116,2.60443,1.7391,0.008218,0.008218,0.008218
20,1962.45,1.09821,1.26923,1.39036,0.6516,0.41266,0.45978,0.30522,1.42407,2.39943,1.69804,0.008119,0.008119,0.008119
21,2060.22,1.09221,1.26076,1.38453,0.60179,0.40211,0.44294,0.29514,1.45022,2.60313,1.74878,0.00802,0.00802,0.00802
22,2158.74,1.08284,1.24131,1.37738,0.60582,0.40224,0.45396,0.30534,1.41539,2.46942,1.70359,0.007921,0.007921,0.007921
23,2256,1.07265,1.23125,1.37598,0.62047,0.4145,0.463,0.31172,1.42052,2.54172,1.7097,0.007822,0.007822,0.007822
24,2353.27,1.06756,1.2233,1.37155,0.58462,0.40566,0.44805,0.30046,1.43406,2.5271,1.73601,0.007723,0.007723,0.007723
25,2450.57,1.06056,1.20416,1.36168,0.63578,0.41483,0.45879,0.30681,1.42883,2.52654,1.72865,0.007624,0.007624,0.007624
26,2547.97,1.06088,1.20155,1.36684,0.5879,0.4138,0.44515,0.2999,1.43213,2.60616,1.73718,0.007525,0.007525,0.007525
27,2644.92,1.0605,1.20568,1.36211,0.59968,0.41546,0.45828,0.31333,1.41097,2.54224,1.72691,0.007426,0.007426,0.007426
