epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.121,0.96848,0.9179,1.2172,0.68973,0.49075,0.56133,0.39422,1.28845,1.74841,1.6702,0.000237131,0.000237131,0.000237131
2,221.619,1.026,1.02214,1.25736,0.60085,0.49828,0.53002,0.36527,1.29273,1.77023,1.69262,0.000470428,0.000470428,0.000470428
3,342.743,1.07606,1.12019,1.2912,0.59666,0.47885,0.50795,0.34693,1.35452,1.84678,1.7232,0.000699011,0.000699011,0.000699011
4,91.7589,1.07086,1.10723,1.28714,0.61201,0.48705,0.52568,0.35579,1.34855,1.85857,1.72923,0.000692794,0.000692794,0.000692794
5,191.409,1.03665,1.07797,1.26289,0.58933,0.46587,0.50328,0.332,1.37775,1.95407,1.7694,0.000685726,0.000685726,0.000685726
6,294.114,1.03608,1.05763,1.26059,0.59935,0.48243,0.5107,0.33714,1.4076,1.88858,1.79245,0.000678657,0.000678657,0.000678657
7,408.157,1.11408,1.18032,1.31624,0.5685,0.48026,0.49772,0.33458,1.37522,1.97442,1.7152,0.000671588,0.000671588,0.000671588
8,522.446,1.13093,1.20425,1.33573,0.58688,0.44759,0.50106,0.33722,1.36286,1.90009,1.7312,0.00066452,0.00066452,0.00066452
9,632.663,1.12742,1.1946,1.33632,0.59371,0.4497,0.50189,0.34344,1.36613,1.95014,1.75167,0.000657451,0.000657451,0.000657451
10,766.009,1.10648,1.17569,1.32064,0.58537,0.48108,0.50778,0.34147,1.3586,1.83472,1.72581,0.000650383,0.000650383,0.000650383
11,885.322,1.11599,1.18719,1.33221,0.59359,0.4963,0.53287,0.35815,1.3523,1.84356,1.74281,0.000643314,0.000643314,0.000643314
12,990.369,1.10848,1.15416,1.31113,0.61728,0.48713,0.52308,0.36042,1.32943,1.88535,1.70462,0.000636245,0.000636245,0.000636245
13,1088.71,1.11073,1.14694,1.31476,0.61046,0.51148,0.54815,0.37698,1.31432,1.69217,1.68158,0.000629177,0.000629177,0.000629177
