epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.745,0.95015,1.0414,1.26373,0.63396,0.45981,0.50625,0.34436,1.3882,2.05201,1.774,0.00332766,0.00332766,0.00332766
2,413.201,1.03492,1.18147,1.3157,0.58261,0.46229,0.49794,0.3277,1.44761,2.02742,1.81133,0.00659505,0.00659505,0.00659505
3,610.233,1.15785,1.42997,1.41217,0.54582,0.38861,0.40242,0.2587,1.53463,2.30907,1.8713,0.00979644,0.00979644,0.00979644
4,808.473,1.26533,1.60702,1.48024,0.5583,0.4567,0.47683,0.31093,1.43622,1.95845,1.7995,0.009703,0.009703,0.009703
5,1013.29,1.26942,1.62497,1.48684,0.61346,0.44207,0.4855,0.32264,1.39737,1.96813,1.76405,0.009604,0.009604,0.009604
6,1228.86,1.24969,1.58511,1.48177,0.55436,0.47118,0.50306,0.33417,1.41062,1.85732,1.76773,0.009505,0.009505,0.009505
7,1424.76,1.23472,1.55193,1.46864,0.61284,0.45402,0.50454,0.33603,1.40665,1.83043,1.77604,0.009406,0.009406,0.009406
8,1626.15,1.21938,1.53718,1.45775,0.57004,0.47018,0.49339,0.32467,1.40452,1.91526,1.78057,0.009307,0.009307,0.009307
9,1821.15,1.20138,1.49717,1.44149,0.55791,0.47917,0.50807,0.33499,1.38311,1.88755,1.76711,0.009208,0.009208,0.009208
10,2023.71,1.19696,1.47434,1.4432,0.61449,0.49732,0.53478,0.36724,1.31793,1.74197,1.70657,0.009109,0.009109,0.009109
11,2218.39,1.17673,1.44559,1.43084,0.60242,0.49364,0.52635,0.35391,1.36163,1.76846,1.73404,0.00901,0.00901,0.00901
12,2409.51,1.16685,1.43484,1.41784,0.64898,0.50728,0.55268,0.38162,1.30231,1.74679,1.68918,0.008911,0.008911,0.008911
13,2604.41,1.162,1.41958,1.41564,0.64281,0.50973,0.55883,0.38384,1.30784,1.66938,1.67489,0.008812,0.008812,0.008812
14,2805.72,1.15348,1.39527,1.40647,0.66031,0.51728,0.5668,0.38727,1.28975,1.63257,1.66083,0.008713,0.008713,0.008713
15,3000.46,1.14165,1.3856,1.40269,0.66527,0.53329,0.57951,0.39653,1.28924,1.60184,1.68735,0.008614,0.008614,0.008614
16,3201.58,1.14158,1.37155,1.40326,0.65418,0.50999,0.5652,0.39196,1.28401,1.69524,1.66306,0.008515,0.008515,0.008515
17,3395.87,1.13953,1.35412,1.39699,0.67032,0.50773,0.56908,0.39928,1.27867,1.70489,1.69544,0.008416,0.008416,0.008416
18,3593.76,1.13118,1.33948,1.38811,0.65343,0.52264,0.57414,0.40043,1.27219,1.65313,1.6596,0.008317,0.008317,0.008317
19,3790.73,1.12247,1.328,1.38303,0.68215,0.50817,0.57096,0.39987,1.26108,1.65078,1.64194,0.008218,0.008218,0.008218
20,3974.53,1.11021,1.31116,1.3808,0.6689,0.52235,0.5796,0.40388,1.25633,1.61623,1.6556,0.008119,0.008119,0.008119
21,213.065,1.09901,1.28005,1.37094,0.68634,0.54394,0.58887,0.41114,1.24449,1.63731,1.63833,0.00802,0.00802,0.00802
22,427.614,1.11088,1.28977,1.37221,0.65868,0.55503,0.58692,0.4083,1.24057,1.58574,1.64106,0.007921,0.007921,0.007921
23,628.893,1.10096,1.2856,1.37201,0.66944,0.53577,0.58215,0.41049,1.2427,1.62607,1.6345,0.007822,0.007822,0.007822
24,824.94,1.08401,1.24958,1.35278,0.7068,0.54133,0.60457,0.42146,1.25147,1.59485,1.64303,0.007723,0.007723,0.007723
25,1013.27,1.08563,1.24666,1.35084,0.67373,0.54308,0.58891,0.41523,1.2472,1.60156,1.62825,0.007624,0.007624,0.007624
26,1206.75,1.07016,1.22776,1.34746,0.70516,0.53359,0.59485,0.41806,1.23709,1.65963,1.62773,0.007525,0.007525,0.007525
27,1395.83,1.06516,1.2127,1.33841,0.64297,0.57019,0.60202,0.42697,1.20399,1.59441,1.60508,0.007426,0.007426,0.007426
28,1588.65,1.05615,1.20395,1.33237,0.68649,0.55084,0.59887,0.42236,1.22983,1.60658,1.61506,0.007327,0.007327,0.007327
29,1776.92,1.04679,1.18114,1.3229,0.67448,0.54242,0.58789,0.41729,1.21913,1.66796,1.60372,0.007228,0.007228,0.007228
30,1959.84,1.04678,1.17133,1.32665,0.68933,0.55079,0.60667,0.43263,1.21524,1.61306,1.5998,0.007129,0.007129,0.007129
31,2149.03,1.03766,1.15849,1.31961,0.69838,0.55294,0.60724,0.42958,1.21305,1.55428,1.58824,0.00703,0.00703,0.00703
32,2336.56,1.03345,1.15645,1.31519,0.68186,0.55103,0.60109,0.43269,1.19505,1.59485,1.5991,0.006931,0.006931,0.006931
33,2529.27,1.02979,1.14183,1.31449,0.6891,0.55036,0.59682,0.42529,1.21836,1.58318,1.60684,0.006832,0.006832,0.006832
34,2714.23,1.02477,1.13745,1.30614,0.67859,0.54831,0.60092,0.43009,1.20179,1.55979,1.59504,0.006733,0.006733,0.006733
35,2907.36,1.01624,1.12708,1.30133,0.69735,0.55727,0.60943,0.43638,1.21174,1.56418,1.60264,0.006634,0.006634,0.006634
36,3100.93,1.01577,1.11944,1.3054,0.71901,0.54001,0.60811,0.43454,1.18833,1.54687,1.58898,0.006535,0.006535,0.006535
37,3287.67,1.01673,1.10341,1.30453,0.71351,0.54229,0.60524,0.43299,1.18503,1.58535,1.57906,0.006436,0.006436,0.006436
38,3477.37,1.01299,1.1069,1.29754,0.70361,0.56205,0.61147,0.43772,1.20913,1.61635,1.61101,0.006337,0.006337,0.006337
39,3665.36,1.005,1.09073,1.29232,0.69491,0.55285,0.60488,0.43343,1.20808,1.63627,1.60836,0.006238,0.006238,0.006238
40,3843.88,1.00102,1.08428,1.29245,0.68715,0.54578,0.60628,0.43889,1.19977,1.60567,1.60138,0.006139,0.006139,0.006139
41,4029.51,1.00828,1.08997,1.29144,0.6997,0.541,0.60136,0.43194,1.20222,1.61812,1.60236,0.00604,0.00604,0.00604
42,4229.65,1.0054,1.08092,1.29255,0.70237,0.5542,0.60099,0.43749,1.18862,1.63828,1.59039,0.005941,0.005941,0.005941
43,4414.29,1.00061,1.07678,1.28842,0.68136,0.56385,0.60927,0.44031,1.18685,1.64043,1.58748,0.005842,0.005842,0.005842
44,4605.45,0.99926,1.07235,1.28456,0.70871,0.55316,0.61351,0.44385,1.19577,1.64953,1.59099,0.005743,0.005743,0.005743
45,4789.74,0.99313,1.07227,1.2794,0.69361,0.55579,0.60871,0.43851,1.1964,1.59459,1.59154,0.005644,0.005644,0.005644
46,4966.22,0.99668,1.06796,1.28642,0.6865,0.55191,0.60252,0.43611,1.19134,1.629,1.5844,0.005545,0.005545,0.005545
47,5151.4,0.98206,1.05232,1.27007,0.71777,0.55996,0.61272,0.4435,1.18648,1.58027,1.58499,0.005446,0.005446,0.005446
48,5338.23,0.97896,1.04309,1.27171,0.70725,0.55751,0.60718,0.43991,1.19046,1.6003,1.59037,0.005347,0.005347,0.005347
49,5521.95,0.98049,1.04056,1.27155,0.70332,0.55555,0.6104,0.44281,1.19032,1.61084,1.59203,0.005248,0.005248,0.005248
50,5703.44,0.97836,1.03005,1.26404,0.71065,0.55429,0.60777,0.43966,1.17665,1.60422,1.58191,0.005149,0.005149,0.005149
51,5885.94,0.97841,1.02901,1.27105,0.68455,0.55981,0.60515,0.43934,1.17719,1.62562,1.57914,0.00505,0.00505,0.00505
52,6065.11,0.97146,1.01625,1.264,0.67433,0.56938,0.61091,0.44354,1.18057,1.64733,1.58193,0.004951,0.004951,0.004951
53,6247.39,0.96535,1.00746,1.25624,0.70353,0.54994,0.60656,0.44001,1.18399,1.66851,1.5903,0.004852,0.004852,0.004852
54,6453.79,0.95982,0.99562,1.25468,0.70469,0.55546,0.61129,0.44405,1.18079,1.67048,1.58292,0.004753,0.004753,0.004753
55,6650.47,0.95955,0.9951,1.25636,0.69546,0.55438,0.60689,0.44221,1.17611,1.66762,1.58221,0.004654,0.004654,0.004654
56,6866.99,0.94563,0.97737,1.24437,0.70697,0.55423,0.60774,0.44124,1.19287,1.68566,1.60273,0.004555,0.004555,0.004555
57,7064.99,0.94924,0.97625,1.24796,0.70431,0.55224,0.61102,0.44381,1.18496,1.65284,1.58712,0.004456,0.004456,0.004456
58,7272.56,0.94608,0.96749,1.24369,0.67709,0.56089,0.60887,0.44331,1.17967,1.66635,1.57982,0.004357,0.004357,0.004357
59,7468.69,0.93494,0.95461,1.23625,0.69507,0.55714,0.60925,0.44439,1.17407,1.68735,1.57931,0.004258,0.004258,0.004258
60,7665.81,0.93258,0.95101,1.23971,0.68931,0.56711,0.61123,0.44218,1.17971,1.65956,1.58313,0.004159,0.004159,0.004159
61,7865.41,0.92937,0.93514,1.23386,0.71186,0.543,0.60311,0.4377,1.1816,1.69825,1.59196,0.00406,0.00406,0.00406
62,8061.99,0.92589,0.93134,1.23171,0.71718,0.53785,0.60394,0.44153,1.17713,1.68182,1.58806,0.003961,0.003961,0.003961
63,8270.15,0.92592,0.92995,1.22938,0.70372,0.54609,0.60561,0.44228,1.18973,1.70423,1.60253,0.003862,0.003862,0.003862
64,8464.29,0.91583,0.92342,1.2243,0.70963,0.5448,0.60336,0.4396,1.19511,1.71832,1.60494,0.003763,0.003763,0.003763
65,8666.88,0.9192,0.92316,1.22362,0.71988,0.54451,0.60236,0.43848,1.18647,1.72867,1.59837,0.003664,0.003664,0.003664
66,8874.9,0.91364,0.91049,1.22177,0.71031,0.55349,0.60189,0.43784,1.18279,1.73813,1.59535,0.003565,0.003565,0.003565
67,9073.56,0.90443,0.89758,1.21398,0.68715,0.56155,0.60055,0.43692,1.18731,1.77746,1.60087,0.003466,0.003466,0.003466
68,9283.76,0.89849,0.89785,1.21067,0.69748,0.55383,0.60021,0.43802,1.18305,1.77241,1.60674,0.003367,0.003367,0.003367
69,9488.83,0.90174,0.87882,1.20643,0.70422,0.54998,0.60055,0.43919,1.17617,1.78968,1.60228,0.003268,0.003268,0.003268
70,9692.3,0.89782,0.88149,1.20797,0.71262,0.54349,0.59778,0.43764,1.17912,1.79887,1.60469,0.003169,0.003169,0.003169
71,9901.96,0.8921,0.86695,1.20172,0.69819,0.54443,0.59583,0.43626,1.18434,1.79508,1.61357,0.00307,0.00307,0.00307
72,10110.2,0.89166,0.86683,1.20122,0.69364,0.54523,0.59913,0.43674,1.18294,1.81266,1.6075,0.002971,0.002971,0.002971
73,10313.1,0.8896,0.86833,1.20477,0.7129,0.54185,0.59695,0.43582,1.18148,1.82442,1.61111,0.002872,0.002872,0.002872
74,10519.7,0.87655,0.85044,1.19263,0.71133,0.53948,0.59703,0.43441,1.17984,1.81631,1.60741,0.002773,0.002773,0.002773
75,10717,0.8734,0.84021,1.19247,0.69999,0.54835,0.59595,0.43432,1.17927,1.81731,1.60814,0.002674,0.002674,0.002674
