epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.676,1.10505,1.20809,1.3816,0.66525,0.51169,0.56294,0.36156,1.4056,1.65039,1.77962,0.00332766,0.00332766,0.00332766
2,375.282,1.1491,1.33259,1.4103,0.593,0.4735,0.50951,0.31243,1.52319,1.89374,1.8933,0.00659505,0.00659505,0.00659505
3,555.56,1.24189,1.53662,1.49291,0.51858,0.43769,0.45244,0.27773,1.57459,2.10593,1.936,0.00979644,0.00979644,0.00979644
4,743.56,1.32707,1.69477,1.55281,0.56395,0.40877,0.45042,0.27457,1.59522,2.16806,1.93714,0.009703,0.009703,0.009703
5,925.692,1.32037,1.68153,1.5497,0.56925,0.47554,0.50441,0.31981,1.52002,1.9108,1.87682,0.009604,0.009604,0.009604
6,1101.64,1.30599,1.64134,1.54251,0.59066,0.49202,0.51867,0.31483,1.55774,1.94531,1.90164,0.009505,0.009505,0.009505
7,1283.77,1.28553,1.60959,1.52779,0.58567,0.47233,0.50724,0.31286,1.50833,1.95481,1.85248,0.009406,0.009406,0.009406
8,1469.87,1.27318,1.5884,1.5159,0.61082,0.49063,0.53554,0.33991,1.45939,1.76871,1.81167,0.009307,0.009307,0.009307
9,1649.87,1.25406,1.54493,1.49779,0.62846,0.50627,0.54483,0.32685,1.57265,1.89071,1.94246,0.009208,0.009208,0.009208
10,1825.55,1.24184,1.52193,1.49186,0.62832,0.51101,0.55228,0.33096,1.57703,1.81155,1.89325,0.009109,0.009109,0.009109
11,2004.55,1.23636,1.49818,1.48659,0.62168,0.51137,0.56298,0.364,1.42167,1.66697,1.78935,0.00901,0.00901,0.00901
12,2179.91,1.22465,1.48877,1.47952,0.61339,0.53465,0.56809,0.34137,1.57326,1.83791,1.90158,0.008911,0.008911,0.008911
13,2358.97,1.21677,1.4673,1.47265,0.65124,0.50456,0.55777,0.36149,1.42032,1.7185,1.77875,0.008812,0.008812,0.008812
14,2536.63,1.21763,1.45486,1.46959,0.64175,0.51248,0.55502,0.35467,1.40587,1.71423,1.76214,0.008713,0.008713,0.008713
15,2714.59,1.20084,1.43346,1.4577,0.65109,0.54281,0.57238,0.36905,1.45588,1.64911,1.81333,0.008614,0.008614,0.008614
16,2902.24,1.19659,1.41708,1.4571,0.68715,0.50329,0.56701,0.34804,1.51048,1.76203,1.86796,0.008515,0.008515,0.008515
17,3082.36,1.18819,1.4011,1.44898,0.66972,0.53803,0.59671,0.38553,1.41706,1.64833,1.78439,0.008416,0.008416,0.008416
18,3260.26,1.18698,1.38571,1.44436,0.65105,0.5175,0.57445,0.36597,1.46515,1.68785,1.81069,0.008317,0.008317,0.008317
19,3439.9,1.17654,1.36802,1.43751,0.62117,0.55634,0.58273,0.37212,1.46136,1.67106,1.79635,0.008218,0.008218,0.008218
20,3611.83,1.16379,1.34738,1.4328,0.64768,0.56397,0.59896,0.37582,1.48621,1.58807,1.82968,0.008119,0.008119,0.008119
21,3783.92,1.15589,1.32925,1.42144,0.67555,0.54441,0.59492,0.37716,1.4703,1.65197,1.81787,0.00802,0.00802,0.00802
22,3975.47,1.14527,1.32214,1.41405,0.67733,0.55295,0.59869,0.38202,1.43734,1.5916,1.77715,0.007921,0.007921,0.007921
23,219.151,1.13937,1.30684,1.41046,0.67078,0.56351,0.60626,0.39145,1.41142,1.61049,1.73712,0.007822,0.007822,0.007822
24,460.561,1.14055,1.30118,1.40073,0.67865,0.56256,0.60362,0.38332,1.46449,1.64868,1.81301,0.007723,0.007723,0.007723
25,705.636,1.13982,1.30673,1.4114,0.66818,0.56161,0.61239,0.40042,1.39379,1.59872,1.72716,0.007624,0.007624,0.007624
26,949.895,1.12041,1.26388,1.39037,0.71601,0.54062,0.60943,0.39632,1.43617,1.63942,1.77554,0.007525,0.007525,0.007525
27,1176.31,1.12016,1.25426,1.38333,0.72098,0.54305,0.60643,0.38731,1.42607,1.61477,1.79185,0.007426,0.007426,0.007426
28,1404.58,1.11033,1.24504,1.38548,0.71775,0.54278,0.61524,0.39483,1.44839,1.61508,1.80185,0.007327,0.007327,0.007327
29,1624.1,1.10597,1.23345,1.37819,0.69745,0.55945,0.6239,0.40058,1.42431,1.58736,1.76674,0.007228,0.007228,0.007228
30,1859.72,1.09659,1.23037,1.37152,0.72592,0.55112,0.62199,0.40015,1.4524,1.60575,1.80126,0.007129,0.007129,0.007129
31,2079.95,1.08836,1.20978,1.3624,0.70766,0.55995,0.61414,0.39527,1.44215,1.61637,1.79228,0.00703,0.00703,0.00703
32,2308.97,1.08165,1.19587,1.36043,0.71041,0.56861,0.62867,0.39711,1.47267,1.60132,1.80918,0.006931,0.006931,0.006931
33,2532.18,1.08024,1.18208,1.36107,0.68391,0.57143,0.62207,0.39879,1.46443,1.61804,1.80166,0.006832,0.006832,0.006832
34,2772.87,1.07414,1.17733,1.352,0.69592,0.56971,0.62572,0.40192,1.44645,1.60089,1.79177,0.006733,0.006733,0.006733
35,2996.12,1.06891,1.16838,1.34899,0.69526,0.57078,0.62047,0.3965,1.42729,1.53517,1.78063,0.006634,0.006634,0.006634
36,3233.77,1.06921,1.1647,1.34834,0.7027,0.57816,0.62122,0.40635,1.39902,1.5885,1.76106,0.006535,0.006535,0.006535
37,3463.14,1.0606,1.15792,1.34033,0.75502,0.55387,0.6272,0.39911,1.47863,1.63895,1.82322,0.006436,0.006436,0.006436
38,3704.04,1.05907,1.14999,1.33951,0.72901,0.55941,0.62608,0.40602,1.43484,1.61347,1.78641,0.006337,0.006337,0.006337
39,3920.64,1.05417,1.13488,1.33874,0.72121,0.55478,0.62473,0.40587,1.43622,1.63393,1.79666,0.006238,0.006238,0.006238
40,4131.6,1.05255,1.13051,1.33516,0.71746,0.57355,0.62971,0.40155,1.45475,1.62109,1.8093,0.006139,0.006139,0.006139
41,4350.77,1.04491,1.12338,1.33285,0.71175,0.56681,0.62829,0.4049,1.45205,1.61427,1.80906,0.00604,0.00604,0.00604
42,4559.27,1.03759,1.10469,1.32745,0.74654,0.56816,0.63281,0.41186,1.4323,1.56977,1.77938,0.005941,0.005941,0.005941
43,4765.43,1.03416,1.0936,1.3208,0.68874,0.58442,0.63048,0.40929,1.43028,1.58254,1.79992,0.005842,0.005842,0.005842
44,4973.37,1.02454,1.07976,1.31598,0.72099,0.57107,0.6336,0.40749,1.43793,1.59483,1.79643,0.005743,0.005743,0.005743
45,5181.32,1.04366,1.10798,1.32863,0.70345,0.5841,0.63925,0.41777,1.40577,1.58855,1.7715,0.005644,0.005644,0.005644
46,5404.8,1.03923,1.10161,1.3221,0.70297,0.58049,0.63279,0.41349,1.41825,1.56227,1.7642,0.005545,0.005545,0.005545
47,5622.12,1.03494,1.09384,1.32223,0.69549,0.58715,0.63669,0.41616,1.41051,1.60567,1.76883,0.005446,0.005446,0.005446
48,5841.47,1.03315,1.0979,1.31921,0.71928,0.58095,0.63965,0.41526,1.4182,1.60043,1.78697,0.005347,0.005347,0.005347
49,6048.56,1.02104,1.0712,1.30899,0.71267,0.58557,0.6376,0.41414,1.41232,1.5748,1.78227,0.005248,0.005248,0.005248
50,6265.72,1.01198,1.06837,1.30271,0.71497,0.59126,0.64056,0.41186,1.43746,1.59662,1.81295,0.005149,0.005149,0.005149
51,6474.78,1.01805,1.07788,1.30722,0.71626,0.58503,0.63822,0.40913,1.44126,1.59684,1.80807,0.00505,0.00505,0.00505
52,6675.42,1.01151,1.05503,1.29557,0.71049,0.59406,0.6383,0.41232,1.43819,1.60723,1.80125,0.004951,0.004951,0.004951
53,6884.96,1.0098,1.05068,1.30147,0.72722,0.58652,0.63894,0.41516,1.417,1.58894,1.79752,0.004852,0.004852,0.004852
54,7099.06,1.00907,1.0553,1.3002,0.69955,0.58545,0.63141,0.41147,1.4228,1.66469,1.79843,0.004753,0.004753,0.004753
55,7307.38,0.99782,1.02864,1.291,0.71158,0.57573,0.63459,0.41005,1.44207,1.66488,1.82639,0.004654,0.004654,0.004654
56,7527.28,0.99824,1.02199,1.28922,0.74556,0.56889,0.63962,0.41395,1.43972,1.65265,1.79921,0.004555,0.004555,0.004555
57,7735.35,0.99376,1.02528,1.2868,0.73408,0.58374,0.63853,0.41307,1.42704,1.64747,1.80908,0.004456,0.004456,0.004456
58,7965.24,0.9879,1.00419,1.27887,0.7251,0.57924,0.63692,0.4127,1.43937,1.67248,1.81701,0.004357,0.004357,0.004357
59,8169.07,0.97954,1.00184,1.27889,0.73505,0.58117,0.63778,0.41346,1.43601,1.66761,1.82011,0.004258,0.004258,0.004258
60,8396.19,0.98092,0.9985,1.27866,0.72213,0.58741,0.63731,0.41252,1.44113,1.66113,1.82103,0.004159,0.004159,0.004159
61,8600.14,0.96833,0.98975,1.27498,0.72969,0.592,0.64356,0.4166,1.43525,1.65545,1.81523,0.00406,0.00406,0.00406
62,8807.65,0.9659,0.97716,1.27333,0.7169,0.58561,0.63905,0.41345,1.44749,1.67999,1.82436,0.003961,0.003961,0.003961
63,9006.1,0.9607,0.97049,1.26763,0.70829,0.58832,0.64053,0.41424,1.44146,1.66661,1.83498,0.003862,0.003862,0.003862
64,9223.66,0.96394,0.96502,1.26494,0.71009,0.5928,0.63543,0.4127,1.43269,1.71243,1.83442,0.003763,0.003763,0.003763
65,9454.02,0.96007,0.95823,1.26339,0.72559,0.58127,0.63717,0.41537,1.43325,1.69494,1.83345,0.003664,0.003664,0.003664
66,9699.78,0.95105,0.94884,1.25566,0.72312,0.57805,0.63391,0.41253,1.43519,1.72709,1.83669,0.003565,0.003565,0.003565
67,9919.84,0.94452,0.94757,1.25008,0.73223,0.57513,0.63663,0.41372,1.43821,1.73133,1.83603,0.003466,0.003466,0.003466
68,10148.7,0.95123,0.93877,1.25155,0.73209,0.57894,0.63833,0.41432,1.4406,1.73614,1.83647,0.003367,0.003367,0.003367
69,10376.6,0.94459,0.92617,1.24907,0.72546,0.57617,0.63807,0.41546,1.44364,1.7341,1.8402,0.003268,0.003268,0.003268
70,10587.2,0.93446,0.92568,1.242,0.72407,0.57638,0.6372,0.41575,1.432,1.73951,1.82971,0.003169,0.003169,0.003169
71,10805.1,0.93259,0.90988,1.2333,0.73399,0.56458,0.63597,0.41501,1.43635,1.75492,1.83639,0.00307,0.00307,0.00307
72,199.999,0.90804,0.87531,1.22813,0.71973,0.57271,0.63467,0.41399,1.43184,1.74699,1.83677,0.002971,0.002971,0.002971
73,420.959,0.91489,0.88375,1.22862,0.72068,0.5748,0.63344,0.41466,1.43076,1.75827,1.8351,0.002872,0.002872,0.002872
74,619.491,0.91695,0.88864,1.23487,0.7304,0.57664,0.63471,0.41556,1.43398,1.75755,1.84628,0.002773,0.002773,0.002773
75,828.311,0.90423,0.86573,1.2203,0.75537,0.56338,0.63511,0.41637,1.43553,1.77041,1.8534,0.002674,0.002674,0.002674
76,1027.56,0.90929,0.87077,1.21942,0.72634,0.57514,0.63528,0.41711,1.43404,1.78492,1.85288,0.002575,0.002575,0.002575
77,1248.1,0.89657,0.8628,1.21757,0.73016,0.57163,0.63409,0.41573,1.43404,1.78662,1.85405,0.002476,0.002476,0.002476
78,1466.99,0.89201,0.84812,1.21299,0.72476,0.57106,0.63709,0.418,1.43166,1.79789,1.84987,0.002377,0.002377,0.002377
