epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.555,1.56299,4.15466,1.82116,0.47778,0.31203,0.26898,0.16002,1.50041,2.57899,1.89643,0.000237244,0.000237244,0.000237244
2,228.589,1.52368,3.1891,1.788,0.39458,0.34352,0.3299,0.18912,1.58976,2.3725,1.95316,0.00047054,0.00047054,0.00047054
3,353.381,1.50934,2.67158,1.77819,0.40652,0.39927,0.37127,0.22242,1.45753,2.23849,1.87211,0.000699122,0.000699122,0.000699122
4,489.135,1.4969,2.39633,1.76913,0.52208,0.4217,0.44144,0.27473,1.44982,2.13748,1.86877,0.000692794,0.000692794,0.000692794
5,624.411,1.44942,2.26675,1.74023,0.50385,0.46389,0.48923,0.30544,1.43324,1.93081,1.84889,0.000685726,0.000685726,0.000685726
6,761.116,1.41089,2.1249,1.70445,0.53564,0.47111,0.49617,0.3193,1.36672,1.89665,1.78493,0.000678657,0.000678657,0.000678657
7,894.663,1.39291,2.0361,1.68598,0.58158,0.48007,0.52293,0.33839,1.35289,1.83639,1.75531,0.000671588,0.000671588,0.000671588
8,1039.56,1.3574,1.94756,1.65196,0.64343,0.48919,0.55645,0.36975,1.29773,1.77228,1.71006,0.00066452,0.00066452,0.00066452
9,1185,1.32913,1.87425,1.62738,0.59779,0.54115,0.5804,0.39592,1.25085,1.57608,1.6636,0.000657451,0.000657451,0.000657451
10,1320.58,1.32322,1.86731,1.62022,0.67202,0.52389,0.59446,0.39841,1.2609,1.55593,1.67035,0.000650383,0.000650383,0.000650383
11,1448.54,1.29571,1.81178,1.60889,0.63398,0.55464,0.60627,0.41634,1.22285,1.52402,1.60663,0.000643314,0.000643314,0.000643314
12,1578.15,1.28052,1.74581,1.5922,0.65379,0.59751,0.63798,0.44686,1.15314,1.4137,1.58072,0.000636245,0.000636245,0.000636245
13,1708.19,1.27019,1.70141,1.57328,0.68481,0.60314,0.65458,0.45566,1.17076,1.34172,1.57912,0.000629177,0.000629177,0.000629177
14,1833.38,1.25947,1.68024,1.56331,0.68024,0.5671,0.6353,0.43794,1.18605,1.48537,1.60184,0.000622108,0.000622108,0.000622108
15,1973.37,1.24439,1.64085,1.55848,0.7281,0.60737,0.6822,0.4825,1.12241,1.29071,1.53868,0.00061504,0.00061504,0.00061504
16,2110.3,1.23585,1.60935,1.55133,0.69487,0.62407,0.68315,0.48101,1.13503,1.27969,1.53753,0.000607971,0.000607971,0.000607971
17,2244.16,1.20976,1.55414,1.52237,0.69929,0.63425,0.68719,0.48578,1.10287,1.26954,1.51005,0.000600902,0.000600902,0.000600902
18,2367.04,1.20889,1.56394,1.52501,0.7474,0.64027,0.7129,0.50568,1.08386,1.16962,1.49694,0.000593834,0.000593834,0.000593834
19,2494.54,1.1979,1.50963,1.49968,0.73486,0.64361,0.70858,0.5043,1.10298,1.19835,1.51349,0.000586765,0.000586765,0.000586765
20,2611.81,1.18685,1.50352,1.49995,0.73287,0.63508,0.70217,0.50004,1.10689,1.22294,1.51637,0.000579697,0.000579697,0.000579697
21,2733.16,1.1779,1.49188,1.48726,0.7634,0.63746,0.72856,0.52665,1.05572,1.15318,1.45436,0.000572628,0.000572628,0.000572628
22,2862.7,1.17847,1.49208,1.49004,0.72643,0.65964,0.72514,0.52244,1.04127,1.13729,1.44188,0.000565559,0.000565559,0.000565559
23,2987.99,1.1519,1.43108,1.45955,0.76429,0.66714,0.75604,0.55062,1.02278,1.08358,1.43374,0.000558491,0.000558491,0.000558491
24,3110.04,1.15548,1.42466,1.46836,0.7346,0.68376,0.74227,0.53541,1.05989,1.12127,1.45597,0.000551422,0.000551422,0.000551422
25,3234.89,1.15344,1.42193,1.46395,0.77286,0.70247,0.76977,0.56502,1.0017,1.02763,1.39266,0.000544354,0.000544354,0.000544354
26,3362.77,1.12928,1.38375,1.4402,0.77395,0.70732,0.77463,0.57047,0.98529,1.01862,1.39406,0.000537285,0.000537285,0.000537285
27,3494.82,1.13071,1.37134,1.44753,0.76334,0.72547,0.77793,0.57,1.00297,1.00404,1.39697,0.000530216,0.000530216,0.000530216
28,3621.14,1.12151,1.35146,1.43787,0.79969,0.69296,0.77952,0.57852,0.96884,0.98415,1.37481,0.000523148,0.000523148,0.000523148
29,3765.13,1.11705,1.35757,1.43073,0.81151,0.70688,0.79075,0.58483,0.98267,0.96562,1.38738,0.000516079,0.000516079,0.000516079
30,3892.88,1.09836,1.31858,1.41895,0.78154,0.72293,0.79105,0.57817,1.00272,0.98889,1.38621,0.000509011,0.000509011,0.000509011
31,4018.22,1.10063,1.30793,1.41671,0.80839,0.71107,0.79873,0.59355,0.95806,0.94491,1.36529,0.000501942,0.000501942,0.000501942
32,4140.47,1.09441,1.2968,1.41878,0.75961,0.74749,0.79707,0.59224,0.96202,0.94237,1.36462,0.000494873,0.000494873,0.000494873
33,4268.29,1.09,1.28522,1.41421,0.80738,0.71903,0.80627,0.60148,0.94841,0.91228,1.35517,0.000487805,0.000487805,0.000487805
34,4393.27,1.08242,1.27347,1.39977,0.81466,0.74252,0.82113,0.61791,0.92425,0.8894,1.334,0.000480736,0.000480736,0.000480736
35,4521.29,1.0756,1.25245,1.40075,0.8183,0.73253,0.81874,0.61497,0.94349,0.88833,1.34486,0.000473668,0.000473668,0.000473668
36,4646.97,1.07513,1.25444,1.39876,0.81996,0.74323,0.82611,0.62356,0.92154,0.86858,1.33029,0.000466599,0.000466599,0.000466599
37,4770.48,1.06921,1.22902,1.39,0.82008,0.75056,0.83145,0.62637,0.92825,0.85455,1.33133,0.00045953,0.00045953,0.00045953
38,4888.93,1.06198,1.2212,1.38314,0.8467,0.75966,0.84551,0.64244,0.91221,0.83064,1.31657,0.000452462,0.000452462,0.000452462
39,5015.74,1.05925,1.20518,1.38207,0.83976,0.75401,0.8464,0.64303,0.90334,0.82329,1.3063,0.000445393,0.000445393,0.000445393
40,5145.06,1.04369,1.19697,1.369,0.84785,0.77179,0.8474,0.64943,0.87945,0.80066,1.28107,0.000438325,0.000438325,0.000438325
41,5275.16,1.03614,1.16441,1.35713,0.85258,0.76136,0.85542,0.65328,0.89134,0.78975,1.29192,0.000431256,0.000431256,0.000431256
42,5405.09,1.03724,1.18083,1.36611,0.86498,0.7712,0.86446,0.66797,0.85329,0.76542,1.26537,0.000424187,0.000424187,0.000424187
