epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.208,2.00981,4.62284,2.09996,0.34873,0.18848,0.13792,0.06117,1.89685,3.0891,2.16229,0.000237244,0.000237244,0.000237244
2,198.115,1.90233,3.65581,2.01885,0.43439,0.20188,0.13257,0.05312,2.07365,3.07148,2.39429,0.00047054,0.00047054,0.00047054
3,295.633,1.86878,3.16258,2.00884,0.32811,0.21233,0.16128,0.06675,2.00755,3.15453,2.30525,0.000699122,0.000699122,0.000699122
4,392.996,1.84788,2.89734,2.01207,0.38708,0.19687,0.17136,0.08062,1.94677,2.91917,2.29265,0.000692794,0.000692794,0.000692794
5,491.15,1.82141,2.74596,1.97892,0.33086,0.2502,0.18444,0.07546,2.06554,2.95821,2.41072,0.000685726,0.000685726,0.000685726
6,593.307,1.78402,2.63936,1.94314,0.27354,0.29027,0.21598,0.09575,1.93044,2.711,2.23085,0.000678657,0.000678657,0.000678657
7,692.723,1.76145,2.56141,1.91848,0.28151,0.29165,0.22879,0.11538,1.86886,2.69937,2.21172,0.000671588,0.000671588,0.000671588
8,794.077,1.75287,2.49922,1.8989,0.37133,0.27537,0.24686,0.12273,1.89647,2.7371,2.18546,0.00066452,0.00066452,0.00066452
9,896.403,1.74358,2.46201,1.91074,0.43772,0.26294,0.22491,0.10842,1.86377,2.7669,2.18209,0.000657451,0.000657451,0.000657451
10,995.835,1.73519,2.44747,1.90102,0.39091,0.35884,0.30376,0.15202,1.83779,2.48708,2.1332,0.000650383,0.000650383,0.000650383
11,1096.24,1.71209,2.36418,1.88764,0.36477,0.34843,0.28616,0.14709,1.79845,2.49523,2.11727,0.000643314,0.000643314,0.000643314
12,1196.71,1.6976,2.35247,1.86707,0.48278,0.33684,0.32316,0.16768,1.80802,2.36606,2.11421,0.000636245,0.000636245,0.000636245
13,1297.62,1.69705,2.33773,1.85856,0.41683,0.33444,0.31203,0.16532,1.74036,2.45416,2.07836,0.000629177,0.000629177,0.000629177
14,1396.34,1.69191,2.28678,1.85409,0.36471,0.35453,0.29416,0.15459,1.77641,2.43053,2.10524,0.000622108,0.000622108,0.000622108
15,1500.25,1.67805,2.28237,1.85216,0.53838,0.27329,0.29481,0.15119,1.79358,2.51695,2.10459,0.00061504,0.00061504,0.00061504
16,1601.68,1.67153,2.22963,1.83082,0.37022,0.34969,0.30287,0.15883,1.74274,2.41766,2.05062,0.000607971,0.000607971,0.000607971
17,1700.96,1.65181,2.20733,1.83218,0.4199,0.37442,0.3364,0.18371,1.70479,2.30788,2.02541,0.000600902,0.000600902,0.000600902
18,1802.9,1.65979,2.19706,1.82936,0.32764,0.30071,0.24085,0.13307,1.74959,2.62993,2.10095,0.000593834,0.000593834,0.000593834
19,1902.44,1.65586,2.17163,1.81638,0.45939,0.36846,0.34076,0.18305,1.77139,2.4158,2.05263,0.000586765,0.000586765,0.000586765
20,2000.52,1.6283,2.14117,1.79769,0.46046,0.36675,0.33927,0.18001,1.77308,2.29249,2.03616,0.000579697,0.000579697,0.000579697
21,2102.9,1.63747,2.14833,1.8053,0.44243,0.34657,0.3303,0.18294,1.71568,2.36635,2.04991,0.000572628,0.000572628,0.000572628
22,2201.13,1.61101,2.12758,1.78205,0.43933,0.40294,0.36741,0.20137,1.69481,2.17209,2.00315,0.000565559,0.000565559,0.000565559
23,2299.11,1.61246,2.10736,1.7847,0.47171,0.37402,0.36114,0.20831,1.64995,2.19436,1.97085,0.000558491,0.000558491,0.000558491
24,2401.14,1.59758,2.07133,1.7687,0.37283,0.34235,0.30036,0.16925,1.72402,2.3899,2.03638,0.000551422,0.000551422,0.000551422
25,2502.75,1.58801,2.06761,1.77689,0.48238,0.37984,0.36435,0.20362,1.71207,2.1902,2.03347,0.000544354,0.000544354,0.000544354
26,2608.88,1.57486,2.03604,1.75694,0.3978,0.36784,0.33532,0.1946,1.6527,2.28595,1.98463,0.000537285,0.000537285,0.000537285
27,2712.35,1.5739,2.01148,1.75603,0.42633,0.37705,0.34557,0.19459,1.7023,2.29065,2.0222,0.000530216,0.000530216,0.000530216
28,2809.69,1.55595,2.0343,1.75156,0.44799,0.39575,0.38563,0.22354,1.66095,2.1581,1.99926,0.000523148,0.000523148,0.000523148
29,2911.76,1.55414,2.02334,1.74841,0.48052,0.38842,0.37948,0.21632,1.6346,2.10843,1.96057,0.000516079,0.000516079,0.000516079
30,3013.87,1.54571,1.99162,1.73571,0.42764,0.33035,0.32448,0.18459,1.64798,2.3432,1.97304,0.000509011,0.000509011,0.000509011
31,3114.37,1.54979,1.99574,1.72986,0.43632,0.38022,0.36322,0.21765,1.55643,2.14672,1.90081,0.000501942,0.000501942,0.000501942
