epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.64,1.43513,3.34029,1.70844,0.3599,0.34174,0.29268,0.18299,1.38298,2.38101,1.83462,0.00332117,0.00332117,0.00332117
2,308.47,1.36822,2.17309,1.61777,0.3925,0.37075,0.34329,0.20084,1.51415,2.23726,2.01998,0.00662156,0.00662156,0.00662156
3,459.647,1.54967,2.32432,1.77768,0.28802,0.2068,0.15015,0.06672,1.91127,3.02624,2.49186,0.00988895,0.00988895,0.00988895
4,612.694,1.6472,2.48104,1.85976,0.25229,0.17193,0.11651,0.05738,1.86899,5.51882,2.37359,0.0098515,0.0098515,0.0098515
5,762.533,1.63888,2.38749,1.87388,0.30035,0.27275,0.22327,0.12275,1.76831,2.75732,2.25956,0.009802,0.009802,0.009802
6,912.31,1.57919,2.25456,1.81622,0.30155,0.26408,0.2436,0.14265,1.69304,2.69441,2.16559,0.0097525,0.0097525,0.0097525
7,1062.1,1.53328,2.17866,1.7883,0.40384,0.33766,0.30072,0.16959,1.62954,2.46203,2.10302,0.009703,0.009703,0.009703
8,1211.92,1.50811,2.08708,1.77965,0.28016,0.2626,0.21744,0.11768,1.79713,3.00581,2.26325,0.0096535,0.0096535,0.0096535
9,1361.55,1.47345,2.01057,1.73992,0.39205,0.37758,0.3515,0.21304,1.55271,2.15683,2.04149,0.009604,0.009604,0.009604
10,1511.6,1.43636,1.94479,1.70824,0.34988,0.29339,0.27767,0.16288,1.69127,2.46976,2.15585,0.0095545,0.0095545,0.0095545
11,1661.27,1.41341,1.89783,1.68764,0.47079,0.38549,0.38376,0.23697,1.49868,2.07295,1.97861,0.009505,0.009505,0.009505
12,1811.44,1.38099,1.83565,1.66667,0.42414,0.3971,0.3793,0.2325,1.521,2.07746,2.00173,0.0094555,0.0094555,0.0094555
13,1961.18,1.36533,1.78241,1.65744,0.38401,0.36075,0.33458,0.2037,1.56846,2.32843,2.06623,0.009406,0.009406,0.009406
14,2110.82,1.34097,1.73104,1.63272,0.41418,0.35946,0.34047,0.2121,1.51081,2.27513,2.02522,0.0093565,0.0093565,0.0093565
15,2260.47,1.32671,1.7248,1.62213,0.40849,0.34432,0.33634,0.21035,1.5084,2.31936,1.98702,0.009307,0.009307,0.009307
16,2410.12,1.29356,1.63093,1.59402,0.50796,0.36053,0.37299,0.23483,1.52113,2.30842,2.01114,0.0092575,0.0092575,0.0092575
17,2559.69,1.27582,1.60295,1.5786,0.45121,0.41213,0.38836,0.24342,1.50577,2.16777,2.003,0.009208,0.009208,0.009208
18,2709.81,1.27768,1.57766,1.5714,0.44635,0.41568,0.39131,0.24047,1.46628,2.16421,1.94733,0.0091585,0.0091585,0.0091585
19,2859.54,1.25733,1.554,1.5648,0.43912,0.37822,0.3717,0.2338,1.50671,2.24549,1.96609,0.009109,0.009109,0.009109
20,3009.52,1.2419,1.50125,1.55085,0.49284,0.39547,0.40569,0.26063,1.4631,2.13289,1.96685,0.0090595,0.0090595,0.0090595
21,3159.54,1.23516,1.49024,1.54098,0.4904,0.39355,0.39349,0.24877,1.4828,2.14826,1.96612,0.00901,0.00901,0.00901
22,3309.18,1.22431,1.46373,1.52759,0.44545,0.39304,0.3827,0.23713,1.50294,2.19532,2.00766,0.0089605,0.0089605,0.0089605
23,3458.66,1.20594,1.43216,1.5154,0.46317,0.40311,0.39197,0.25202,1.46361,2.2214,1.96876,0.008911,0.008911,0.008911
24,3608.37,1.19733,1.39504,1.502,0.46879,0.40574,0.40808,0.26407,1.39987,2.0635,1.89366,0.0088615,0.0088615,0.0088615
25,3758.4,1.1879,1.38816,1.49596,0.47593,0.43311,0.42869,0.28241,1.40845,1.9836,1.91443,0.008812,0.008812,0.008812
26,3908.31,1.178,1.37037,1.48063,0.49194,0.41726,0.41797,0.27492,1.42308,2.04417,1.9075,0.0087625,0.0087625,0.0087625
27,4058.02,1.16379,1.34445,1.47795,0.51859,0.4202,0.43395,0.28201,1.39605,2.01147,1.88646,0.008713,0.008713,0.008713
28,4207.93,1.15065,1.31925,1.47291,0.52045,0.46728,0.46811,0.30807,1.36894,1.89496,1.85233,0.0086635,0.0086635,0.0086635
29,4358.01,1.14631,1.30316,1.46621,0.50213,0.42891,0.43549,0.29178,1.36522,1.97583,1.8752,0.008614,0.008614,0.008614
30,4507.87,1.14206,1.29173,1.45972,0.51289,0.4127,0.41408,0.26712,1.40037,2.01343,1.8944,0.0085645,0.0085645,0.0085645
31,4657.6,1.12874,1.25536,1.447,0.49917,0.41432,0.41109,0.26857,1.44146,2.16152,1.91738,0.008515,0.008515,0.008515
32,4807.37,1.11876,1.2448,1.43885,0.52782,0.45201,0.46544,0.3098,1.35561,1.89597,1.82618,0.0084655,0.0084655,0.0084655
33,4957.4,1.12094,1.24241,1.43246,0.45567,0.45501,0.42485,0.28113,1.35949,1.99488,1.83915,0.008416,0.008416,0.008416
34,5107.15,1.09932,1.19127,1.4195,0.49784,0.45138,0.44905,0.29791,1.34787,1.94163,1.83244,0.0083665,0.0083665,0.0083665
35,5256.71,1.08686,1.19233,1.40603,0.49027,0.38416,0.3921,0.25283,1.45418,2.20233,1.95389,0.008317,0.008317,0.008317
36,5406.36,1.09724,1.18527,1.4194,0.53717,0.41064,0.44685,0.29898,1.37041,2.0081,1.859,0.0082675,0.0082675,0.0082675
37,5556.28,1.08051,1.14695,1.40232,0.516,0.47105,0.46767,0.31318,1.34238,1.93061,1.84772,0.008218,0.008218,0.008218
38,5706.29,1.06939,1.14579,1.39615,0.53088,0.43675,0.45312,0.3005,1.34612,2.0178,1.8113,0.0081685,0.0081685,0.0081685
39,5855.93,1.06512,1.14448,1.38838,0.44537,0.40326,0.37994,0.23661,1.50579,2.18871,2.01018,0.008119,0.008119,0.008119
40,6005.71,1.05665,1.11125,1.38915,0.50706,0.4322,0.43517,0.28081,1.38709,1.98453,1.88354,0.0080695,0.0080695,0.0080695
41,6155.6,1.04501,1.09905,1.37388,0.52356,0.46769,0.4776,0.3176,1.34418,1.82445,1.86489,0.00802,0.00802,0.00802
42,6305.67,1.03697,1.09637,1.3725,0.56933,0.46474,0.49455,0.3331,1.30731,1.8498,1.81536,0.0079705,0.0079705,0.0079705
43,6455.73,1.03888,1.08018,1.37336,0.52197,0.44061,0.44643,0.30008,1.35583,2.04322,1.86998,0.007921,0.007921,0.007921
44,6605.4,1.02015,1.05726,1.35353,0.56141,0.42904,0.45897,0.30556,1.34203,2.03061,1.82235,0.0078715,0.0078715,0.0078715
45,6755.2,1.02803,1.05195,1.36347,0.54355,0.42206,0.45206,0.30011,1.37641,1.98087,1.87284,0.007822,0.007822,0.007822
46,6904.88,1.01119,1.03643,1.34982,0.54884,0.45705,0.47881,0.32015,1.35647,1.91497,1.83283,0.0077725,0.0077725,0.0077725
47,7054.65,1.01069,1.0237,1.35246,0.53879,0.40449,0.43997,0.29089,1.36513,2.03821,1.87127,0.007723,0.007723,0.007723
48,7204.62,1.00509,1.01306,1.34399,0.54174,0.44323,0.461,0.3087,1.33642,1.97361,1.83591,0.0076735,0.0076735,0.0076735
49,7354.23,0.99672,0.99596,1.3432,0.54134,0.47733,0.47781,0.32497,1.29624,1.93686,1.81763,0.007624,0.007624,0.007624
50,7503.97,0.99191,0.98154,1.33311,0.57532,0.4331,0.47502,0.32286,1.33876,1.91379,1.84167,0.0075745,0.0075745,0.0075745
51,7653.8,0.98366,0.97418,1.32391,0.56394,0.44583,0.47439,0.32021,1.31057,1.95889,1.8251,0.007525,0.007525,0.007525
52,7803.55,0.98717,0.97546,1.32471,0.52673,0.42658,0.4412,0.29894,1.37115,2.1346,1.84356,0.0074755,0.0074755,0.0074755
53,7953.16,0.97593,0.94707,1.30348,0.56182,0.40612,0.43676,0.29231,1.39435,2.20443,1.87764,0.007426,0.007426,0.007426
54,8102.83,0.96581,0.95407,1.30564,0.53716,0.44431,0.46121,0.30716,1.35963,2.04386,1.87147,0.0073765,0.0073765,0.0073765
55,8252.48,0.95725,0.92551,1.30427,0.58482,0.44475,0.48772,0.3377,1.30173,1.91615,1.78642,0.007327,0.007327,0.007327
56,8402.51,0.96032,0.93065,1.3083,0.54507,0.46598,0.48041,0.32756,1.32613,1.89753,1.83192,0.0072775,0.0072775,0.0072775
57,8552.39,0.94724,0.90125,1.29284,0.53568,0.46247,0.46843,0.31709,1.334,2.00553,1.84474,0.007228,0.007228,0.007228
58,8702.02,0.94137,0.90147,1.28445,0.59241,0.40754,0.46127,0.3138,1.35487,2.11548,1.85944,0.0071785,0.0071785,0.0071785
59,8851.55,0.93503,0.90445,1.28395,0.53638,0.43027,0.45596,0.30888,1.35965,2.09875,1.86007,0.007129,0.007129,0.007129
60,9001.42,0.93516,0.89002,1.28215,0.51117,0.45515,0.45657,0.31297,1.33284,2.05352,1.84351,0.0070795,0.0070795,0.0070795
61,9151.26,0.92792,0.88028,1.27695,0.5757,0.44634,0.47578,0.32112,1.32471,2.04948,1.84305,0.00703,0.00703,0.00703
62,9300.98,0.92115,0.87221,1.27148,0.60829,0.42552,0.47847,0.32485,1.32868,2.01842,1.85734,0.0069805,0.0069805,0.0069805
63,9450.65,0.91867,0.86512,1.26978,0.57318,0.48141,0.51398,0.35334,1.28908,1.9069,1.78991,0.006931,0.006931,0.006931
64,9600.61,0.91797,0.8634,1.26658,0.58258,0.47547,0.49827,0.34181,1.32247,1.97889,1.83299,0.0068815,0.0068815,0.0068815
65,9750.34,0.88865,0.83281,1.25,0.58005,0.44034,0.48026,0.32932,1.31204,2.05353,1.84915,0.006832,0.006832,0.006832
66,9900.09,0.89232,0.81479,1.24984,0.61157,0.43101,0.47574,0.32504,1.33527,2.02201,1.85426,0.0067825,0.0067825,0.0067825
