epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kdcls_loss,train/kddfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kdcls_loss,val/kddfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.107,1.60183,4.20412,1.81578,7.69282,400.793,0.2318,0.21049,0.1282,0.07607,1.70258,3.43327,1.91929,4.4707,311.522,0.000237209,0.000237209,0.000237209
2,393.275,1.56844,3.47703,1.77142,5.25602,200.656,0.20935,0.22605,0.13841,0.07472,1.69708,3.59238,1.97065,3.69071,263.321,0.000470505,0.000470505,0.000470505
3,622.184,1.57178,3.15782,1.77472,4.13846,179.977,0.31493,0.22584,0.14537,0.0835,1.67146,4.0215,1.94662,3.52525,249.509,0.000699088,0.000699088,0.000699088
4,865.155,1.54034,2.89896,1.7471,3.6581,166.635,0.25279,0.25421,0.19237,0.11095,1.65498,3.24952,1.93999,3.21547,237.366,0.000692794,0.000692794,0.000692794
5,1107.32,1.49447,2.67439,1.71757,3.31178,151.913,0.24794,0.20385,0.14861,0.08064,1.73107,3.81769,2.04562,3.33378,206.897,0.000685726,0.000685726,0.000685726
6,1312.77,1.45337,2.481,1.6815,3.09098,142.538,0.33954,0.26008,0.21677,0.12442,1.62744,2.95567,1.89896,2.83684,198.147,0.000678657,0.000678657,0.000678657
7,1562.11,1.42454,2.33438,1.65029,2.84218,131.813,0.32554,0.30262,0.25014,0.15034,1.55942,2.83435,1.82447,2.83719,232.884,0.000671588,0.000671588,0.000671588
8,1739.28,1.40472,2.2581,1.63433,2.7378,127.404,0.36689,0.32639,0.26,0.15909,1.55214,2.94933,1.81999,2.81138,214.781,0.00066452,0.00066452,0.00066452
9,1979,1.39403,2.18124,1.62487,2.59415,121.086,0.37556,0.30476,0.25998,0.15687,1.59066,2.75895,1.87355,2.79227,186.018,0.000657451,0.000657451,0.000657451
10,2225.77,1.37424,2.10096,1.60962,2.43471,116.198,0.30009,0.32786,0.23816,0.14139,1.60062,2.92631,1.889,2.97621,180.554,0.000650383,0.000650383,0.000650383
11,2451.05,1.3489,2.03833,1.58542,2.31881,110.66,0.36674,0.33108,0.28141,0.1803,1.5033,2.80854,1.79154,2.66622,187.576,0.000643314,0.000643314,0.000643314
12,2637.61,1.31872,1.97084,1.56821,2.23622,105.565,0.41404,0.30548,0.26054,0.16233,1.5619,2.73908,1.84629,2.74372,196.938,0.000636245,0.000636245,0.000636245
13,2827.01,1.30192,1.933,1.55155,2.15317,100.953,0.36362,0.37265,0.29907,0.19434,1.47632,2.54664,1.74608,2.77944,168.31,0.000629177,0.000629177,0.000629177
14,3009.39,1.30682,1.91457,1.55013,2.09403,100.646,0.4178,0.30819,0.28884,0.18113,1.51493,2.76179,1.81067,2.39443,147.728,0.000622108,0.000622108,0.000622108
15,3197.38,1.2958,1.87327,1.5401,2.0317,97.2595,0.41361,0.36893,0.33555,0.21363,1.47778,2.49072,1.75216,2.95128,181.018,0.00061504,0.00061504,0.00061504
16,3348.02,1.29116,1.82962,1.53595,1.9555,93.1905,0.39961,0.35601,0.32676,0.2119,1.45703,2.47015,1.73975,2.73574,156.025,0.000607971,0.000607971,0.000607971
17,3487.74,1.26333,1.78918,1.51618,1.89501,89.5384,0.44179,0.35264,0.33396,0.21292,1.47593,2.47028,1.75282,2.62207,186.299,0.000600902,0.000600902,0.000600902
18,3626.97,1.24911,1.75421,1.50589,1.84851,88.0257,0.50822,0.33401,0.32127,0.20747,1.45904,2.60561,1.76586,2.26939,141.379,0.000593834,0.000593834,0.000593834
19,3766.25,1.25751,1.73069,1.50258,1.77296,85.1824,0.52267,0.33778,0.32897,0.21226,1.47923,2.53546,1.73694,2.4028,180.516,0.000586765,0.000586765,0.000586765
20,3904.63,1.23321,1.69762,1.48952,1.75976,82.9223,0.47205,0.36888,0.34236,0.22132,1.46127,2.44163,1.73236,2.66413,192.721,0.000579697,0.000579697,0.000579697
21,4042.12,1.23747,1.68845,1.49013,1.67982,81.0386,0.39029,0.38516,0.33485,0.20957,1.5293,2.59696,1.79729,2.24808,126.141,0.000572628,0.000572628,0.000572628
22,4181.21,1.22119,1.65018,1.47382,1.65098,79.8677,0.47529,0.39393,0.37306,0.24712,1.44336,2.36921,1.73053,2.41385,141.741,0.000565559,0.000565559,0.000565559
23,4318.92,1.2189,1.63495,1.47517,1.62227,78.6949,0.44713,0.37539,0.34757,0.21974,1.49308,2.48163,1.77498,2.38787,133.478,0.000558491,0.000558491,0.000558491
24,4459.11,1.20405,1.61479,1.45806,1.56374,74.771,0.50152,0.37679,0.37375,0.24581,1.45531,2.34329,1.73953,2.25792,150.788,0.000551422,0.000551422,0.000551422
25,4597.35,1.19852,1.60926,1.457,1.5256,73.9472,0.47539,0.37986,0.35974,0.23656,1.43272,2.41882,1.71618,2.49745,134.192,0.000544354,0.000544354,0.000544354
26,4734.21,1.18587,1.55937,1.4439,1.51652,72.6477,0.48659,0.37944,0.36888,0.24245,1.43715,2.34006,1.72097,2.28069,148.475,0.000537285,0.000537285,0.000537285
27,4875.53,1.17718,1.55919,1.43869,1.51935,71.5247,0.47844,0.4102,0.37846,0.24584,1.43941,2.43845,1.71302,2.12974,138.897,0.000530216,0.000530216,0.000530216
28,5015.48,1.17459,1.54617,1.43748,1.46487,69.8015,0.48332,0.39526,0.37539,0.244,1.42714,2.36851,1.70983,2.24226,140.254,0.000523148,0.000523148,0.000523148
29,5153.19,1.17258,1.5221,1.42985,1.431,68.2618,0.46371,0.40715,0.35426,0.23315,1.45404,2.64907,1.74412,1.84738,122.812,0.000516079,0.000516079,0.000516079
30,5290.35,1.17145,1.51824,1.43842,1.3998,67.3534,0.50963,0.41389,0.38907,0.25321,1.45058,2.42848,1.71768,2.04827,124.502,0.000509011,0.000509011,0.000509011
31,5427.84,1.15464,1.4961,1.42712,1.37389,65.6428,0.48154,0.37065,0.38533,0.25314,1.42268,2.32499,1.7036,2.45714,134.797,0.000501942,0.000501942,0.000501942
32,5566.44,1.15394,1.47652,1.4179,1.38346,64.905,0.52945,0.41055,0.39136,0.25737,1.41326,2.40097,1.69962,1.95815,133.853,0.000494873,0.000494873,0.000494873
33,5703.45,1.14523,1.46164,1.41558,1.35001,62.6468,0.5015,0.40454,0.39492,0.25967,1.40997,2.28672,1.68519,2.45804,139.571,0.000487805,0.000487805,0.000487805
34,5842.12,1.142,1.45849,1.40956,1.29532,62.0018,0.45019,0.41507,0.37593,0.24639,1.4309,2.33592,1.7309,2.15196,112.569,0.000480736,0.000480736,0.000480736
35,5980.42,1.12851,1.4559,1.40413,1.28661,59.718,0.46843,0.40202,0.38752,0.2554,1.40584,2.38276,1.70763,2.02815,125.79,0.000473668,0.000473668,0.000473668
36,6120.04,1.13451,1.4268,1.39748,1.26936,60.1438,0.53476,0.36542,0.38382,0.25382,1.41417,2.44206,1.69672,1.76524,120.694,0.000466599,0.000466599,0.000466599
37,6259.86,1.13079,1.42175,1.39911,1.24653,58.5392,0.49859,0.41623,0.40549,0.26559,1.40551,2.21363,1.69689,2.04028,118.893,0.00045953,0.00045953,0.00045953
38,6398.59,1.11749,1.38858,1.38743,1.21881,58.0337,0.52819,0.40041,0.41507,0.27745,1.39862,2.23724,1.6847,2.13152,118.435,0.000452462,0.000452462,0.000452462
39,6536.59,1.11467,1.39328,1.38572,1.22691,57.0652,0.51597,0.42347,0.41691,0.27425,1.406,2.29144,1.69227,1.88194,113.085,0.000445393,0.000445393,0.000445393
40,6677.15,1.11113,1.36996,1.37919,1.18369,55.7047,0.48203,0.45038,0.40834,0.26965,1.41639,2.28723,1.70399,1.83943,110.203,0.000438325,0.000438325,0.000438325
41,6816.08,1.09789,1.34332,1.36596,1.14975,54.4466,0.47618,0.40286,0.39151,0.26032,1.40964,2.29311,1.70707,2.00495,110.154,0.000431256,0.000431256,0.000431256
42,6958.48,1.09638,1.34063,1.36997,1.14571,52.7377,0.5099,0.42942,0.40977,0.27088,1.40973,2.27253,1.69622,1.94768,114.031,0.000424187,0.000424187,0.000424187
43,7097.68,1.10743,1.34822,1.37612,1.13373,53.5672,0.53673,0.41998,0.41628,0.2764,1.39792,2.28825,1.69336,1.77574,112.051,0.000417119,0.000417119,0.000417119
44,7237.75,1.09185,1.32995,1.36846,1.11266,52.3795,0.45342,0.42906,0.40557,0.26965,1.41656,2.29825,1.7195,1.77822,98.8371,0.00041005,0.00041005,0.00041005
45,7376.49,1.09095,1.3109,1.367,1.09291,52.1698,0.52275,0.41263,0.41637,0.27559,1.42371,2.3469,1.71792,1.91078,103.842,0.000402982,0.000402982,0.000402982
46,7516.22,1.0841,1.31135,1.36035,1.07953,50.7841,0.4952,0.44329,0.42128,0.27928,1.41296,2.30046,1.69724,1.73246,101.826,0.000395913,0.000395913,0.000395913
47,7655.45,1.09071,1.32269,1.36465,1.06457,50.6947,0.53517,0.42842,0.43019,0.28386,1.42228,2.25727,1.71012,1.77522,98.0513,0.000388844,0.000388844,0.000388844
48,7794.99,1.07494,1.30515,1.35399,1.01538,48.0832,0.46623,0.45274,0.41571,0.27803,1.39049,2.26573,1.66712,1.79722,111.748,0.000381776,0.000381776,0.000381776
49,7933.33,1.07064,1.2912,1.35118,1.03254,47.4758,0.54525,0.43389,0.43471,0.29102,1.3984,2.23581,1.66977,1.82335,104.326,0.000374707,0.000374707,0.000374707
50,8073.61,1.08128,1.28724,1.35883,1.02495,48.1572,0.51175,0.42275,0.42765,0.28473,1.40687,2.32582,1.69464,1.62197,94.8929,0.000367639,0.000367639,0.000367639
51,8214.32,1.05889,1.2834,1.34481,1.02614,46.7064,0.55799,0.44075,0.45235,0.30336,1.37831,2.22366,1.67177,1.80312,100.857,0.00036057,0.00036057,0.00036057
52,8354.66,1.06789,1.27484,1.34352,0.98267,45.6879,0.5373,0.42972,0.43558,0.28638,1.39455,2.30145,1.6828,1.6507,92.1272,0.000353501,0.000353501,0.000353501
53,8492.89,1.06062,1.24752,1.34144,0.98491,44.821,0.53308,0.43979,0.42736,0.28459,1.40641,2.3971,1.68352,1.50705,88.9944,0.000346433,0.000346433,0.000346433
54,8632.06,1.05966,1.24052,1.3441,0.95649,45.2542,0.53171,0.44636,0.42754,0.28468,1.38107,2.34069,1.66859,1.60484,92.058,0.000339364,0.000339364,0.000339364
55,8772.16,1.05136,1.24985,1.33138,0.93593,43.7961,0.5836,0.43541,0.44031,0.29354,1.39219,2.34043,1.67395,1.55273,96.5469,0.000332296,0.000332296,0.000332296
56,8915.02,1.04447,1.22655,1.32923,0.94274,43.7239,0.57876,0.43242,0.44699,0.29669,1.38957,2.28858,1.67568,1.64802,90.9821,0.000325227,0.000325227,0.000325227
57,9053.46,1.04348,1.23282,1.32684,0.93094,42.8991,0.56752,0.40964,0.43021,0.28636,1.39275,2.28793,1.68202,1.65799,88.1496,0.000318158,0.000318158,0.000318158
58,9193.37,1.04549,1.23343,1.32605,0.9167,41.8642,0.57616,0.445,0.45719,0.30491,1.38887,2.22857,1.66693,1.67411,91.7969,0.00031109,0.00031109,0.00031109
59,9333.54,1.02982,1.19991,1.31407,0.89367,40.9083,0.58711,0.41574,0.43936,0.29184,1.38664,2.27225,1.67973,1.58862,89.8672,0.000304021,0.000304021,0.000304021
60,9474.04,1.02935,1.1964,1.31868,0.8935,40.5461,0.57457,0.41668,0.43714,0.2921,1.39363,2.3355,1.68374,1.44809,82.2299,0.000296953,0.000296953,0.000296953
61,9612.02,1.03,1.19547,1.31438,0.89078,40.3937,0.52469,0.46427,0.44481,0.29526,1.38651,2.2008,1.67755,1.69828,87.2388,0.000289884,0.000289884,0.000289884
62,9753.08,1.03042,1.18925,1.31439,0.87994,40.0392,0.53193,0.45301,0.44202,0.29846,1.37593,2.28559,1.66316,1.52958,82.2366,0.000282815,0.000282815,0.000282815
63,9893.59,1.02727,1.18989,1.31803,0.86449,39.2623,0.54987,0.4482,0.45249,0.30321,1.38131,2.20213,1.66812,1.60018,86.9576,0.000275747,0.000275747,0.000275747
64,10033.4,1.01324,1.17841,1.3072,0.84166,38.8783,0.61453,0.42098,0.45421,0.30349,1.39078,2.18809,1.67821,1.67008,87.9342,0.000268678,0.000268678,0.000268678
65,10171.2,1.02268,1.17445,1.30543,0.83481,38.1093,0.55056,0.46753,0.45764,0.3023,1.38661,2.21641,1.6708,1.59956,82.5379,0.00026161,0.00026161,0.00026161
66,10310.9,1.01184,1.16737,1.30489,0.82403,37.6383,0.57679,0.44679,0.4585,0.31155,1.3664,2.23598,1.65571,1.56349,88.9297,0.000254541,0.000254541,0.000254541
67,10451.3,0.99323,1.14304,1.29805,0.83836,37.6976,0.56131,0.45591,0.45159,0.2995,1.37674,2.29607,1.65681,1.46022,83.3281,0.000247472,0.000247472,0.000247472
68,10594.9,1.00149,1.14544,1.29679,0.81313,36.448,0.56946,0.43265,0.44128,0.29389,1.38431,2.34393,1.67462,1.4632,79.3493,0.000240404,0.000240404,0.000240404
69,10732.3,0.98199,1.12997,1.28034,0.82463,35.5986,0.59292,0.43115,0.45075,0.29966,1.3881,2.31113,1.68003,1.47241,79.9855,0.000233335,0.000233335,0.000233335
70,10872.7,1.02137,1.16366,1.31095,0.76573,34.775,0.55211,0.45038,0.45369,0.30589,1.37173,2.2155,1.66333,1.52049,77.3672,0.000226267,0.000226267,0.000226267
71,11013.1,1.01735,1.15573,1.30616,0.76682,34.4459,0.59044,0.44157,0.4563,0.30675,1.38204,2.26528,1.67024,1.4541,76.0524,0.000219198,0.000219198,0.000219198
72,11153,1.01991,1.14213,1.31275,0.74419,34.0937,0.57956,0.44627,0.46247,0.31052,1.37,2.21825,1.65961,1.46052,79.0123,0.000212129,0.000212129,0.000212129
73,11291.7,1.01601,1.14568,1.31143,0.76259,33.9437,0.60495,0.42004,0.45525,0.3065,1.37306,2.23185,1.66296,1.45108,76.6819,0.000205061,0.000205061,0.000205061
74,11431.4,1.01717,1.15025,1.31182,0.73687,33.4423,0.55237,0.45886,0.45735,0.30956,1.3683,2.24289,1.65435,1.4028,72.058,0.000197992,0.000197992,0.000197992
75,11571.7,1.01484,1.14584,1.30511,0.73956,33.0702,0.5275,0.46352,0.45681,0.30706,1.38096,2.25163,1.66654,1.39652,70.2288,0.000190924,0.000190924,0.000190924
76,11710.9,1.00692,1.13284,1.30691,0.72282,32.2965,0.54751,0.45566,0.45266,0.30368,1.38295,2.23234,1.67009,1.35439,70.6786,0.000183855,0.000183855,0.000183855
77,11848.9,1.00262,1.11547,1.29577,0.7098,32.1681,0.57107,0.43686,0.4541,0.30334,1.38041,2.26007,1.66391,1.34324,69.5859,0.000176786,0.000176786,0.000176786
78,11991,1.00964,1.13361,1.305,0.71784,31.4462,0.57412,0.44224,0.4556,0.30608,1.37654,2.24029,1.66334,1.33486,69.4799,0.000169718,0.000169718,0.000169718
